ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,DRAINAGE,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_BULK_DENSITY,T_OC,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_BULK_DENSITY,S_OC
1,7001,1,1,0,100,1,,,UR,228,UR,201,,,,,,,,,,,,,,,
2,7002,2,2,0,100,1,,,HD,227,HD,202,,,,,,,,,,,,,,,
3,7003,3,3,0,100,1,,,WR,230,WR,198,,,,,,,,,,,,,,,
4,7004,4,4,0,100,1,,,Od,156,HSf,89,1,1,20,40,40,3,0.1,33.63,2,47,26,27,10,0.1,32.89
5,7005,5,5,0,100,1,,,GG,231,GG,199,,,,,,,,,,,,,,,
6,7006,70001,70001,1,70,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
7,7006,70001,70085,1,20,2,,,Th,194,ANh,32,5,4,72,16,12,11,0.99,3.43,10,62,21,17,11,0.94,1.66
8,7006,70001,70086,1,10,3,,,Tv,197,ANi,37,4,4,41,40,19,9,0.76,6.44,9,44,37,19,9,0.79,2.44
9,7007,70002,70001,1,80,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
10,7007,70002,70085,1,20,2,,,Th,194,ANh,32,5,4,72,16,12,11,0.99,3.43,10,62,21,17,11,0.94,1.66
11,7008,70003,70001,1,90,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
12,7008,70003,70011,1,10,2,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
13,7009,70004,70001,1,90,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
14,7009,70004,70012,1,10,2,,,Oe,158,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
15,7010,70005,70001,1,90,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
16,7010,70005,70050,1,10,2,,,Gm,84,GLm,14,2,4,39,39,22,9,1.28,1.65,3,37,35,28,5,1.35,0.69
17,7011,70006,70001,1,100,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
18,7012,70007,70002,1,100,1,,,Qa,174,ARa,43,6,3,88,7,5,13,1.62,0.4,4,89,6,5,13,1.51,0.23
19,7013,70008,70003,1,80,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
20,7013,70008,70099,1,10,2,,,Xk,217,CLl,59,4,10,45,29,26,9,1.44,0.58,8,38,29,33,5,1.32,0.3
21,7013,70008,70102,1,10,3,,,Zo,223,SCh,163,4,7,34,41,25,9,1.25,0.46,8,43,34,23,9,1.31,0.32
22,7014,70009,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
23,7014,70009,70049,1,10,2,,,Gm,84,GLm,14,2,4,39,39,22,9,1.28,1.65,3,37,35,28,5,1.35,0.69
24,7015,70010,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
25,7015,70010,70047,1,5,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
26,7015,70010,70052,1,5,3,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
27,7016,70011,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
28,7016,70011,70065,1,10,2,,,Kh,124,KSh,93,4,8,37,42,21,9,1.28,1.2,5,37,43,20,9,1.32,0.48
29,7017,70012,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
30,7017,70012,70075,1,10,2,,,Pof,170,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
31,7018,70013,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
32,7018,70013,70076,1,10,2,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
